company_name	company_type	company_size	is_listed
珠海市爱婴岛商贸连锁有限公司	新零售	1000-9999人	不需要融资
独立品牌有限公司	移动互联网	20-99人	天使轮
甘肃省文化产业发展集团有限公司	装修装饰	100-499人	不需要融资
申华控股集团有限公司	印刷/包装/造纸	100-499人	未融资
珠海市魅族科技有限公司	通信/网络设备	1000-9999人	B轮
百度在线网络技术(北京)有限公司	互联网	10000人以上	已上市
物产中大集团股份有限公司	电子商务	100-499人	未融资
浙江金融资产交易中心股份有限公司	互联网金融	100-499人	A轮
珠海出彩信息咨询有限公司	医疗健康	100-499人	未融资
盛趣信息技术(上海)有限公司	游戏	1000-9999人	不需要融资
福建省威盛机械发展有限公司	机械设备/机电/重工	100-499人	未融资
石家庄百世科技有限公司	贸易/进出口	100-499人	未融资
福特汽车公司	汽车生产	100-499人	未融资
皖江投资有限公司	医疗/护理/卫生	100-499人	无信息
百诚品牌策划发展有限公司	投资/融资	100-499人	未融资
简尚电子商务有限公司	电子商务	100-499人	不需要融资
米奥莱科技(昆山)有限公司	其他行业	100-499人	不需要融资
红豆集团有限公司	企业服务	10000人以上	已上市
统一企业股份有限公司	食品/饮料/烟酒	1000-9999人	已上市
知合控股有限公司	互联网	100-499人	A轮
统一企业(中国)投资有限公司	食品/饮料/烟酒	1000-9999人	未融资
纷美(北京)贸易有限公司	生活服务	1000-9999人	无信息
美克国际家居用品股份有限公司	新零售	10000人以上	已上市
第一品牌策划有限公司	媒体	500-999人	已上市
维也纳酒店有限公司	生活服务	10000人以上	D轮及以上
美居时尚有限公司	装修装饰	100-499人	不需要融资
美国品牌管理集团有限公司	媒体	20-99人	未融资
美盛文化创意股份有限公司	音乐/视频/阅读	1000-9999人	已上市
深圳合纵文化有限公司	音乐/视频/阅读	100-499人	未融资
美的集团股份有限公司	生活服务	10000人以上	已上市
网易(杭州)网络有限公司	移动互联网	10000人以上	已上市
网之易信息技术(北京)有限公司	移动互联网	10000人以上	已上市
百事公司	食品/饮料/烟酒	10000人以上	已上市
联合利华有限公司	生活服务	1000-9999人	已上市
苏州宝熙贸易有限公司	服装/纺织/皮革	500-999人	不需要融资
苏州清源健康管理有限公司	建筑设计	20-99人	未融资
腾讯科技(深圳)有限公司	互联网	10000人以上	已上市
联想(北京)有限公司	移动互联网	1000-9999人	已上市
莱州市高新投资有限责任公司	汽车生产	100-499人	不需要融资
蒙娜丽莎集团股份有限公司	生活服务	500-999人	不需要融资
蓝港在线(北京)科技有限公司	互联网	100-499人	已上市
裸心集团有限公司	生活服务	500-999人	未融资
西宁恒邦农业有限责任公司	电子商务	100-499人	未融资
西安大唐西市置业有限公司	餐饮	0-20人	无信息
西安如是堂医药生物科技有限公司	广播/影视	0-20人	不需要融资
胜记仓(集团)有限公司	餐饮	100-499人	无信息
西安晨盈机械设备有限公司	电子商务	20-99人	天使轮
视界文化传播有限公司	广告营销	100-499人	不需要融资
西安交通燃气有限责任公司	互联网	10000人以上	已上市
苹果公司	互联网金融	0-20人	不需要融资
讯能科技有限公司	生活服务	500-999人	天使轮
贝因美婴童食品股份有限公司	互联网	1000-9999人	已上市
贝因美集团有限公司	互联网	1000-9999人	已上市
美心食品有限公司	生活服务	10000人以上	不需要融资
资生堂丽源化妆品有限公司	日化	100-499人	不需要融资
超品贸易(上海)有限公司	广告/公关/会展	0-20人	未融资
诺基亚公司	通信/网络设备	10000人以上	已上市
辽宁舌尖汇实业有限公司	餐饮	0-20人	未融资
重庆名瑞投资控股有限公司	装修装饰	20-99人	未融资
郑州单点科技软件有限公司	互联网	100-499人	不需要融资
西安智库信息科技有限公司	企业服务	100-499人	B轮
金典品牌有限公司	其他行业	1000-9999人	不需要融资
重庆棕榈泉房地产开发有限公司	文化/体育/娱乐	20-99人	无信息
苏州诺比节能科技有限公司	电力/热力/燃气/水利	20-99人	无信息
银川市新牛实业有限公司	互联网金融	0-20人	不需要融资
镇江市鼎恩进出口贸易有限公司	医疗健康	1000-9999人	未融资
金山移动有限公司	互联网	1000-9999人	已上市
阿里山有限公司	食品/饮料/烟酒	100-499人	不需要融资
阿里巴巴集团控股有限公司	互联网	10000人以上	不需要融资
陕西乐华恒业投资(集团)股份有限公司	工程施工	20-99人	无信息
陕西金信广告有限责任公司	计算机软件	100-499人	不需要融资
随身云(南京)信息技术有限公司	移动互联网	20-99人	B轮
雀巢产品有限公司	食品/饮料/烟酒	10000人以上	已上市
郑州留余网络科技有限公司	移动互联网	500-999人	未融资
雅士利国际集团有限公司	食品/饮料/烟酒	1000-9999人	已上市
长沙美标文化传播有限公司	4S店/后市场	20-99人	不需要融资
香榭世家实业有限公司	服装/纺织/皮革	20-99人	不需要融资
香港多彩品牌管理有限公司	互联网	100-499人	A轮
重庆龙翔建设工程咨询有限公司	装修装饰	0-20人	不需要融资
韩都衣舍电子商务集团股份有限公司	电子商务	1000-9999人	不需要融资
香港巨森实业资本有限公司	新能源	20-99人	未融资
香港康宝实业有限公司	贸易/进出口	20-99人	不需要融资
香港嘉城企业管理有限公司	企业服务	20-99人	A轮
香港奋进实业有限公司	汽车生产	100-499人	不需要融资
香港腾龙控股集团有限公司	游戏	20-99人	不需要融资
顶级环球有限公司	音乐/视频/阅读	0-20人	未融资
香港衣品服饰有限公司	服装/纺织/皮革	100-499人	无信息
马克贸易集团有限公司	在线教育	0-20人	未融资
飞天诚信科技股份有限公司	信息安全	1000-9999人	已上市
香港派拉德国际品牌管理有限公司	移动互联网	100-499人	已上市
香港发展联合会有限公司	物流/仓储	0-20人	无信息
麦当劳公司	餐饮	10000人以上	已上市
七二四(北京)科技有限公司	医疗健康	20-99人	A轮
万科企业股份有限公司	工程施工	100-499人	已上市
(株)汉松教育	在线教育	20-99人	未融资
万达影视传媒有限公司	互联网金融	100-499人	不需要融资
三全食品股份有限公司	物流/仓储	1000-9999人	已上市
